c1, c2, w, penalty, epochs
0.601321,1.7986,1,329.594,600
intacia, melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\OR30x250-0.75_6.dat, 7.90515, 136829, 12.9994, 129260, 129260, 1.61947, 28806
data\OR30x250-0.75_7.dat, 2.51632, 143766, 11.9562, 129844, 129844, 2.7819, 29186
data\OR30x250-0.75_8.dat, 7.41472, 141574, 11.9469, 134644, 134644, 2.32579, 27846
data\OR30x250-0.75_9.dat, 5.50779, 141332, 12.0655, 131524, 131524, 2.31108, 27356
data\OR30x500-0.25_1.dat, 3.58361, 111897, 12.5798, -4.93046e+08, 101456, 6.23921, 54997
data\OR30x500-0.25_10.dat, 5.16411, 111068, 13.5139, -5.00639e+08, 101289, 7.26886, 53334
data\OR30x500-0.25_2.dat, 4.06236, 110146, 12.0311, -5.63009e+08, 100997, 5.76091, 53487
data\OR30x500-0.25_3.dat, 1.64809, 114817, 10.8889, -5.32733e+08, 104029, 6.65957, 52177
data\OR30x500-0.25_4.dat, 4.18278, 110529, 12.0896, -4.85637e+08, 101408, 6.04274, 54372
data\OR30x500-0.25_5.dat, 1.98756, 114209, 11.6788, -5.2892e+08, 102916, 6.75514, 53555
data\OR30x500-0.25_6.dat, 2.09952, 113311, 11.8905, -5.38146e+08, 101979, 5.94792, 54904
data\OR30x500-0.25_7.dat, 1.49324, 112476, 12.8357, -4.89658e+08, 99525, 6.32233, 54203
data\OR30x500-0.25_8.dat, 2.76042, 111245, 11.2056, -5.77327e+08, 101583, 5.08638, 52648
data\OR30x500-0.25_9.dat, 2.2206, 112856, 15.5718, -4.00585e+08, 97446.2, 7.18171, 53648
data\OR30x500-0.50_1.dat, 12.4482, 190954, 13.5064, 188646, 188646, 0.350157, 59825
data\OR30x500-0.50_10.dat, 7.08721, 199520, 12.815, 187220, 187220, 1.23729, 57771
data\OR30x500-0.50_2.dat, 11.6204, 189705, 12.8792, 187003, 187003, 0.485327, 59395
data\OR30x500-0.50_3.dat, 10.8729, 192495, 13.3448, 187156, 187156, 0.780002, 56556
data\OR30x500-0.50_4.dat, 12.0687, 191611, 13.2692, 188995, 188995, 0.384216, 59565
data\OR30x500-0.50_5.dat, 12.4119, 188918, 13.4934, 186585, 186585, 0.358976, 60322
data\OR30x500-0.50_6.dat, 12.18, 189620, 12.9606, 187935, 187935, 0.330222, 58423
data\OR30x500-0.50_7.dat, 9.32809, 195767, 13.2143, 187376, 187376, 0.836188, 58570
data\OR30x500-0.50_8.dat, 11.4532, 191741, 13.2473, 187856, 187856, 0.513699, 59491
data\OR30x500-0.50_9.dat, 11.5869, 192157, 13.197, 188658, 188658, 0.537983, 59312
data\OR30x500-0.75_1.dat, 3.50377, 291105, 18.9844, 244404, 244404, 4.4749, 58294
data\OR30x500-0.75_10.dat, 9.34285, 272490, 19.6184, 241605, 241605, 3.17071, 56445
data\OR30x500-0.75_2.dat, 11.8758, 264421, 19.3494, 241996, 241996, 2.47181, 56721
data\OR30x500-0.75_3.dat, 16.0439, 256139, 20.5817, 242295, 242295, 1.58156, 56123
data\OR30x500-0.75_4.dat, 2.89208, 293297, 19.8895, 241959, 241959, 3.95987, 56554
data\OR30x500-0.75_5.dat, 4.8121, 289811, 18.6441, 247698, 247698, 4.8124, 57999
data\OR30x500-0.75_6.dat, 2.77699, 288764, 19.2743, 239765, 239765, 4.51395, 56758
data\OR30x500-0.75_7.dat, 5.65295, 286215, 18.8284, 246245, 246245, 4.37811, 58490
data\OR30x500-0.75_8.dat, 11.2248, 272546, 20.1348, 245192, 245192, 2.29186, 56483
data\OR30x500-0.75_9.dat, 8.8935, 276234, 19.9115, 242827, 242827, 2.76794, 58406
data\OR5x100-0.25_1.dat, 4.37226, 23315, 17.3786, 20143.9, 20143.9, 4.52807, 6923
data\OR5x100-0.25_10.dat, 9.91356, 21991, 17.1902, 20214.7, 20214.7, 3.5359, 7073
data\OR5x100-0.25_2.dat, 12.1818, 21317, 18.5208, 19778.3, 19778.3, 3.11653, 6925
data\OR5x100-0.25_3.dat, 2.83215, 22884, 20.1888, 18796.3, 18796.3, 4.98846, 6949
data\OR5x100-0.25_4.dat, 5.81712, 22165, 14.8967, 20028.2, 20028.2, 3.67468, 7140
data\OR5x100-0.25_5.dat, 7.04014, 22302, 17.682, 19748.9, 19748.9, 4.32442, 7094
data\OR5x100-0.25_6.dat, 10.0882, 22130, 18.5784, 20040.3, 20040.3, 3.2031, 6995
data\OR5x100-0.25_7.dat, 3.43089, 24713, 17.9131, 21006.9, 21006.9, 4.37483, 6951
data\OR5x100-0.25_8.dat, 8.129, 21507, 17.484, 19317, 19317, 3.23159, 7129
data\OR5x100-0.25_9.dat, 3.88173, 23276, 17.0628, 20084.1, 20084.1, 4.93812, 6952
data\OR5x100-0.50_1.dat, 5.26464, 40506, 8.53318, 39108.5, 39108.5, 0.975248, 7682
data\OR5x100-0.50_10.dat, 4.68869, 42465, 8.73883, 40660.5, 40660.5, 1.2512, 7654
data\OR5x100-0.50_2.dat, 3.77953, 40937, 8.35946, 38988.5, 38988.5, 1.50104, 7729
data\OR5x100-0.50_3.dat, 4.82034, 39945, 7.71119, 38731.8, 38731.8, 0.940994, 7424
data\OR5x100-0.50_4.dat, 5.93702, 42413, 8.94559, 41056.4, 41056.4, 0.953761, 7571
data\OR5x100-0.50_5.dat, 1.23407, 41697, 8.42753, 38660.1, 38660.1, 1.62608, 7552
data\OR5x100-0.50_6.dat, 2.81874, 41717, 9.22023, 38969, 38969, 1.40132, 7809
data\OR5x100-0.50_7.dat, 5.67497, 39625, 9.18906, 38148.8, 38148.8, 0.971087, 7501
data\OR5x100-0.50_8.dat, 5.02888, 42756, 8.74537, 41082.8, 41082.8, 1.10576, 7613
data\OR5x100-0.50_9.dat, 4.14125, 41642, 8.10686, 39919.3, 39919.3, 1.24494, 7353
data\OR5x100-0.75_1.dat, 5.03159, 56812, 7.29135, 55460.2, 55460.2, 0.86401, 7429
data\OR5x100-0.75_10.dat, 1.35746, 59151, 6.72398, 55933, 55933, 1.52458, 7369
data\OR5x100-0.75_2.dat, 1.37884, 61225, 6.45157, 58075.8, 58075.8, 1.45299, 7130
data\OR5x100-0.75_3.dat, 4.30086, 57230, 7.09374, 55559.8, 55559.8, 1.05809, 7298
data\OR5x100-0.75_4.dat, 3.50039, 58362, 7.06372, 56206.9, 56206.9, 0.913565, 7361
data\OR5x100-0.75_5.dat, 1.71875, 60041, 7.07393, 56769.5, 56769.5, 1.76814, 7390
data\OR5x100-0.75_6.dat, 0.927763, 58412, 6.753, 54977.5, 54977.5, 1.62026, 7301
data\OR5x100-0.75_7.dat, 1.85251, 60398, 6.52399, 57523.3, 57523.3, 1.23451, 7438
data\OR5x100-0.75_8.dat, 3.1632, 59574, 6.85533, 57302.6, 57302.6, 1.2356, 7317
data\OR5x100-0.75_9.dat, 2.09577, 58207, 6.89491, 55353.8, 55353.8, 1.45078, 7294
data\OR5x250-0.25_1.dat, 17.1146, 49161, 24.2441, -6.73066e+06, 44932.4, 4.70172, 21603
data\OR5x250-0.25_10.dat, 10.1002, 53004, 21.2175, -4.35621e+06, 46449.4, 3.61362, 21590
data\OR5x250-0.25_2.dat, 6.07431, 57738, 23.3212, -6.73278e+06, 47136, 5.06732, 21317
data\OR5x250-0.25_3.dat, 11.5371, 54962, 22.5103, -6.03729e+06, 48144.3, 4.76206, 21583
data\OR5x250-0.25_4.dat, 8.10756, 54642, 20.7849, -6.62686e+06, 47103.7, 4.09543, 21322
data\OR5x250-0.25_5.dat, 2.41217, 57529, 21.369, -5.47844e+06, 46353.7, 4.6582, 21324
data\OR5x250-0.25_6.dat, 13.0516, 52236, 22.8289, -5.51443e+06, 46362.1, 2.9644, 21716
data\OR5x250-0.25_7.dat, 6.81796, 56295, 21.1401, -7.86483e+06, 47642.4, 4.26915, 21542
data\OR5x250-0.25_8.dat, 14.7482, 52406, 22.0757, -1.03769e+07, 47901.6, 3.92661, 21572
data\OR5x250-0.25_9.dat, 18.2144, 50613, 22.8387, -8.60532e+06, 47751.3, 2.60397, 21500
data\OR5x250-0.50_1.dat, 5.50184, 103106, 10.2504, 97924.9, 97924.9, 1.34158, 21690
data\OR5x250-0.50_10.dat, 6.51703, 100081, 10.6356, 95671.7, 95671.7, 1.12793, 21738
data\OR5x250-0.50_2.dat, 8.42035, 100592, 11.4811, 97230, 97230, 0.845752, 21882
data\OR5x250-0.50_3.dat, 3.67438, 104521, 10.94, 96637.2, 96637.2, 1.69664, 21842
data\OR5x250-0.50_4.dat, 8.96849, 99573, 11.0054, 97345, 97345, 0.86593, 20869
data\OR5x250-0.50_5.dat, 9.24043, 100489, 10.5442, 99045.5, 99045.5, 0.517791, 21671
data\OR5x250-0.50_6.dat, 7.22591, 102289, 10.4366, 98749.1, 98749.1, 0.93898, 21649
data\OR5x250-0.50_7.dat, 2.72285, 106071, 10.9975, 97048.4, 97048.4, 1.62861, 21836
data\OR5x250-0.50_8.dat, 2.58616, 106222, 10.0481, 98085.3, 98085.3, 1.60583, 21387
data\OR5x250-0.50_9.dat, 5.87428, 103511, 10.8559, 98032.7, 98032.7, 1.04747, 21990
data\OR5x250-0.75_1.dat, 2.8791, 145356, 11.9008, 131854, 131854, 3.44811, 20430
data\OR5x250-0.75_10.dat, 6.39046, 144784, 13.3083, 134084, 134084, 2.30687, 21552
data\OR5x250-0.75_2.dat, 6.85695, 145251, 14.0674, 134007, 134007, 2.14768, 21395
data\OR5x250-0.75_3.dat, 1.2395, 147483, 12.1435, 131200, 131200, 3.91756, 21425
data\OR5x250-0.75_4.dat, 3.22027, 147231, 12.7712, 132701, 132701, 2.86772, 20397
data\OR5x250-0.75_5.dat, 3.20911, 145528, 12.1507, 132084, 132084, 3.02129, 21485
data\OR5x250-0.75_6.dat, 8.83468, 136789, 14.04, 128979, 128979, 2.05166, 20377
data\OR5x250-0.75_7.dat, 2.92786, 144256, 13.2649, 128895, 128895, 2.81112, 21562
data\OR5x250-0.75_8.dat, 5.92127, 140913, 12.4106, 131193, 131193, 2.82127, 21438
data\OR5x250-0.75_9.dat, 3.71498, 149314, 13.3851, 134318, 134318, 2.80524, 21296
data\OR5x500-0.25_1.dat, 7.00469, 111732, 15.4843, -8.42345e+07, 101544, 5.09119, 41521
data\OR5x500-0.25_10.dat, 9.26299, 109535, 16.7149, -8.67152e+07, 100539, 4.63302, 42382
data\OR5x500-0.25_2.dat, 9.02621, 107239, 16.0877, -7.9144e+07, 98914.9, 4.53604, 40970
