c1, c2, w, penalty, epochs
0.670175,0.935928,1,0,600
intacia, melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\OR30x100-0.25_4.dat, 6.76016, 20013, 12.024, 18883.2, 18883.2, 2.71408, 9666
data\OR30x100-0.25_5.dat, 5.40652, 20663, 10.6969, 19507.4, 19507.4, 2.62335, 9566
data\OR30x100-0.25_6.dat, 5.3346, 20993, 10.9288, 19752.4, 19752.4, 2.64228, 9279
data\OR30x100-0.25_7.dat, 3.49099, 21038, 11.1219, 19374.5, 19374.5, 3.15486, 9509
data\OR30x100-0.25_8.dat, 5.40263, 20241, 10.4415, 19162.8, 19162.8, 2.1784, 9170
data\OR30x100-0.25_9.dat, 6.37514, 21089, 10.4178, 20178.4, 20178.4, 2.2116, 9563
data\OR30x100-0.50_1.dat, 4.23136, 39042, 8.50606, 37299.3, 37299.3, 1.31185, 9098
data\OR30x100-0.50_10.dat, 2.57794, 40625, 9.11167, 37900.4, 37900.4, 2.25804, 9109
data\OR30x100-0.50_2.dat, 3.69662, 39781, 7.88435, 38051.1, 38051.1, 1.57176, 9060
data\OR30x100-0.50_3.dat, 4.58083, 39723, 8.10305, 38256.7, 38256.7, 1.46761, 8957
data\OR30x100-0.50_4.dat, 1.48145, 40433, 8.20391, 37674, 37674, 2.4105, 9174
data\OR30x100-0.50_5.dat, 2.19619, 39991, 7.92601, 37648.1, 37648.1, 1.84731, 9142
data\OR30x100-0.50_6.dat, 3.45609, 39639, 7.946, 37795.5, 37795.5, 1.47153, 9134
data\OR30x100-0.50_7.dat, 5.26277, 38901, 8.46833, 37584.7, 37584.7, 1.35175, 9095
data\OR30x100-0.50_8.dat, 5.69536, 40286, 8.94957, 38895.8, 38895.8, 1.50537, 8957
data\OR30x100-0.50_9.dat, 3.25124, 40857, 7.87063, 38906.2, 38906.2, 2.1356, 8999
data\OR30x100-0.75_1.dat, 2.0663, 56306, 5.81556, 54150.4, 54150.4, 1.31897, 9002
data\OR30x100-0.75_10.dat, 1.30687, 59811, 5.15013, 57481.9, 57481.9, 1.54021, 9061
data\OR30x100-0.75_2.dat, 2.03075, 58808, 5.52107, 56712.9, 56712.9, 1.26167, 9230
data\OR30x100-0.75_3.dat, 1.19203, 57360, 5.25138, 55003.5, 55003.5, 1.58423, 9431
data\OR30x100-0.75_4.dat, 0.849019, 60260, 5.44798, 57464.9, 57464.9, 1.71476, 9272
data\OR30x100-0.75_5.dat, 1.42144, 58047, 5.47715, 55658.8, 55658.8, 1.81487, 9242
data\OR30x100-0.75_6.dat, 3.31606, 58021, 5.74245, 56564.9, 56564.9, 0.977581, 9542
data\OR30x100-0.75_7.dat, 3.37336, 56171, 6.2096, 54522.2, 54522.2, 1.01935, 9097
data\OR30x100-0.75_8.dat, 1.1496, 58385, 5.68163, 55708.2, 55708.2, 1.51667, 9083
data\OR30x100-0.75_9.dat, 4.20178, 56497, 6.09999, 55377.5, 55377.5, 0.894854, 9109
data\OR30x250-0.25_1.dat, 7.20242, 52748, 15.1373, 48237.7, 48237.7, 3.07393, 26224
