Sem restricao da velocidade, w dinamico. penalidade NAo dinamica.

c1, c2, w, penalty, epochs
0.601321,1.7986,1,329.594,600
intacia, melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\OR30x100-0.50_8.dat, 2.99632, 41439, 8.15687, 39234.5, 39234.5, 1.97657, 9128
data\OR30x100-0.50_9.dat, 3.13758, 40905, 9.0918, 38390.5, 38390.5, 1.49707, 9358
data\OR30x100-0.75_1.dat, 2.24719, 56202, 5.37024, 54406.4, 54406.4, 1.30628, 9142
data\OR30x100-0.75_10.dat, 1.37122, 59772, 4.58355, 57825.2, 57825.2, 1.69839, 9297
data\OR30x100-0.75_2.dat, 3.26686, 58066, 5.5083, 56720.5, 56720.5, 0.948801, 9302
data\OR30x100-0.75_3.dat, 1.64163, 57099, 5.18104, 55044.3, 55044.3, 1.30754, 9240
data\OR30x100-0.75_4.dat, 0.970778, 60186, 5.9009, 57189.7, 57189.7, 1.41169, 9223
data\OR30x100-0.75_5.dat, 2.2366, 57567, 6.09192, 55296.8, 55296.8, 1.37414, 9084
data\OR30x100-0.75_6.dat, 1.75468, 58958, 5.24937, 56860.8, 56860.8, 1.45737, 9340
data\OR30x100-0.75_7.dat, 2.2965, 56797, 5.49674, 54936.6, 54936.6, 1.46838, 9647
data\OR30x100-0.75_8.dat, 3.06617, 57253, 6.03949, 55496.8, 55496.8, 1.18945, 9762
data\OR30x100-0.75_9.dat, 1.60746, 58027, 5.41043, 55784.2, 55784.2, 1.38667, 9562
data\OR30x250-0.25_1.dat, 13.3106, 49276, 16.6865, 47357.1, 47357.1, 1.59824, 27098
data\OR30x250-0.25_10.dat, 10.1086, 50741, 15.3775, 47766.9, 47766.9, 2.11084, 27736
data\OR30x250-0.25_2.dat, 8.8756, 53326, 15.2071, 49620.8, 49620.8, 2.22232, 27331
data\OR30x250-0.25_3.dat, 12.2037, 49705, 16.3965, 47331.3, 47331.3, 1.78595, 27446
data\OR30x250-0.25_4.dat, 12.0604, 50064, 15.8657, 47897.7, 47897.7, 1.90016, 26564
data\OR30x250-0.25_5.dat, 10.152, 50880, 15.2476, 47994.4, 47994.4, 2.45113, 26146
data\OR30x250-0.25_6.dat, 5.7897, 53893, 15.4248, 48381.3, 48381.3, 3.27757, 26517
data\OR30x250-0.25_7.dat, 11.2391, 50023, 15.2322, 47772.6, 47772.6, 1.94629, 26348
data\OR30x250-0.25_8.dat, 8.0362, 51920, 15.9005, 47480.1, 47480.1, 2.38692, 25921
